repo_name,url,language
Bank-Turnover-Prediction-using-ANN,https://github.com/dextermadh/Bank-Turnover-Prediction-using-ANN,Jupyter Notebook
Breast-Cancer-Classification-with-NN,https://github.com/dextermadh/Breast-Cancer-Classification-with-NN,Jupyter Notebook
CIFAR-10-Object-Recognition-using-MobileNetV2,https://github.com/dextermadh/CIFAR-10-Object-Recognition-using-MobileNetV2,Jupyter Notebook
Customer-Churn-Prediction-using-ANN,https://github.com/dextermadh/Customer-Churn-Prediction-using-ANN,Jupyter Notebook
Dog-vs-Cat-Classification-using-Transfer-Learning,https://github.com/dextermadh/Dog-vs-Cat-Classification-using-Transfer-Learning,Jupyter Notebook
Face-Mask-Wearing-Detection-Model,https://github.com/dextermadh/Face-Mask-Wearing-Detection-Model,Jupyter Notebook
fashion-designer-portfolio-project,https://github.com/dextermadh/fashion-designer-portfolio-project,TypeScript
Flower-classification-using-CNN,https://github.com/dextermadh/Flower-classification-using-CNN,Jupyter Notebook
Gradient-Descent-for-Neural-Network-from-scratch,https://github.com/dextermadh/Gradient-Descent-for-Neural-Network-from-scratch,Jupyter Notebook
Hand-digit-classification-MNIST--using-CNN,https://github.com/dextermadh/Hand-digit-classification-MNIST--using-CNN,Jupyter Notebook
Heart-Failure-Prediction,https://github.com/dextermadh/Heart-Failure-Prediction,Jupyter Notebook
Hybrid-Fashion-Designer-Chatbot,https://github.com/dextermadh/Hybrid-Fashion-Designer-Chatbot,Jupyter Notebook
Hybrid-Log-Classification-,https://github.com/dextermadh/Hybrid-Log-Classification-,Jupyter Notebook
ML-Concepts,https://github.com/dextermadh/ML-Concepts,Jupyter Notebook
my-website,https://github.com/dextermadh/my-website,TypeScript
Neural-Network-for-CIFAR-10-Image-Classification,https://github.com/dextermadh/Neural-Network-for-CIFAR-10-Image-Classification,Jupyter Notebook
Neural-Network-for-Handwritten-Digits-Classification,https://github.com/dextermadh/Neural-Network-for-Handwritten-Digits-Classification,Jupyter Notebook
Neural-Network-from-scratch-using-Python,https://github.com/dextermadh/Neural-Network-from-scratch-using-Python,Jupyter Notebook
Person-Image-Classification,https://github.com/dextermadh/Person-Image-Classification,Jupyter Notebook
Processing-Image-data-for-Deep-Learning,https://github.com/dextermadh/Processing-Image-data-for-Deep-Learning,Jupyter Notebook
